Label,Mass,GrowthRate
116,377.84,0.008269799999999999
117,172.38,0.039296
118,188.86,0.014509999999999999
119,139.47,0.010211
120,146.36,0.008551600000000001
121,216.6,0.079862
122,167.07,0.033852999999999994
123,140.94,0.048827999999999996
124,101.56,0.052629999999999996
125,378.68,0.0060092
126,174.12,0.034088
127,139.9,0.005325
128,146.66,0.010879
129,168.55,0.027224
130,142.5,0.055031
131,102.74,0.061071
132,379.39,0.003121
133,175.76,0.024302
134,189.33,0.02692
135,146.99,0.014929
136,169.89,0.015336
137,144.38,0.059848
138,104.23,0.060904
139,379.83,0.00010719
140,177.09,0.011131
141,190.46,0.028172000000000003
142,147.46,0.019366
143,170.84,0.00017397
144,146.43,0.048041
145,105.87,0.051057
146,191.87,0.021366
147,148.09,0.022603
148,148.71,0.043548
149,124.92,0.027201999999999997
150,107.41,0.032638
151,193.14,0.012858000000000001
152,148.89,0.02283
153,122.95,0.010546999999999999
154,108.58,0.0094745
155,193.92,0.008298999999999999
156,94.425,0.0088609
157,149.76,0.019605
158,122.98,0.029624
159,151.18,0.044879
160,161.69,0.0018363
161,194.38,0.006611799999999999
162,93.023,0.0011331
163,94.542,0.029194
164,150.58,0.01321
165,123.6,0.047096
166,153.18,0.028323
167,161.48,0.012493
168,194.73,0.017488
169,93.027,0.002815
170,151.23,0.004933600000000001
171,124.8,0.060486
172,154.58,0.014884999999999999
173,75.968,0.032704000000000004
174,161.84,0.015924
175,93.07600000000001,0.0035826
176,95.148,0.05122
177,126.52,0.06653099999999999
178,155.35,0.012596
179,76.49600000000001,0.040695
180,146.88,0.024135
181,162.49,0.01354
182,195.32,0.025431
183,93.15700000000001,0.0029927
184,183.05,0.00022729
185,96.214,0.057539
186,128.57,0.064635
187,165.41,0.0044061000000000005
188,155.73,0.024974
189,77.206,0.044953
190,174.88,0.00049936
191,200.34,0.009429
192,148.02,0.009426100000000001
193,163.12,0.009243099999999999
194,196.73,0.040764
195,93.242,0.001509
196,182.68,0.015769
197,97.571,0.053715
198,130.72,0.058213
199,165.28,0.018702
200,156.33,0.044466000000000006
201,174.85,0.0044959
202,200.57,0.017878
203,163.59,0.006414399999999999
204,183.07,0.026968000000000002
205,98.98100000000001,0.042697000000000006
206,137.64,0.0025074000000000003
207,135.72,4.8738999999999995e-05
208,132.73,0.050565
209,165.78,0.030255
210,157.68,0.044022000000000006
211,174.92,0.013369999999999998
212,201.29,0.021928
213,163.88,0.0080651
214,198.89,0.065015
215,184.13,0.031044
216,100.2,0.028973000000000002
217,137.66,0.0062073
218,135.67,0.0020505
219,134.52,0.042635
220,166.82,0.037764
221,159.8,0.046643000000000004
222,146.15,0.010792
223,202.37,0.0024988000000000002
224,175.24,0.026907999999999998
225,202.36,0.021679
226,164.11,0.014971
227,201.79,0.073128
228,185.54,0.030369999999999998
229,101.09,0.014962
230,137.81,0.0087844
231,135.72,0.006693000000000001
232,136.09,0.034368
233,168.28,0.041555
234,146.14,0.031263
235,364.08,0.018754
236,202.28,0.010829
237,367.0,0.0023789
238,176.09,0.040338
239,203.49,0.017711
240,164.54,0.024921000000000002
241,205.36,0.074922
242,186.99,0.027841
243,101.65,0.0021516
244,137.39,0.025608
245,150.8,0.085774
246,169.97,0.042047
247,162.47,0.04543
248,146.94,0.045555
249,366.14,0.010889
250,202.62,0.018379
251,366.81,0.009489200000000001
252,177.6,0.048324
253,204.55,0.00943
254,165.34,0.035041
255,209.18,0.07134800000000001
256,188.36,0.023803
257,135.89,0.014872999999999999
258,268.34,0.01966
259,138.43,0.015271999999999999
260,154.05,0.080113
261,171.78,0.039869999999999996
262,209.01,0.01466
263,164.87,0.01495
264,148.43,0.051953
265,143.94,0.0022483
266,367.5,0.0021427
267,203.38,0.023883
268,367.44,0.012521
269,179.64,0.049123
270,166.59,0.041925
271,213.04,0.048622000000000005
272,189.59,0.018844999999999997
273,147.1,0.0065705
274,136.26,0.023369
275,269.79,0.014758000000000002
276,139.15,0.0055258
277,157.27,0.067781
278,173.55,0.035521
279,209.8,0.012473999999999999
280,143.82,0.014472
281,204.49,0.025623000000000003
282,95.068,0.015179
283,368.55,0.010973
284,181.9,0.0431
285,168.24,0.043725
286,216.64,0.038061000000000005
287,190.6,0.014088999999999999
288,147.09,0.019452
289,136.9,0.029869999999999997
290,270.98,0.0097512
291,160.21,0.051414
292,175.19,0.028704
293,210.55,0.008260700000000001
294,144.1,0.02783
295,205.81,0.022433
296,95.119,0.035138
297,369.74,0.0061593
298,184.05,0.032073000000000004
299,170.08,0.040981000000000004
300,191.37,0.0098963
301,147.58,0.029206
302,137.85,0.030004000000000003
303,271.78,0.0059708999999999995
304,162.6,0.034752
305,176.63,0.020444999999999998
306,211.11,0.004568399999999999
307,144.86,0.039138
308,207.11,0.015238999999999999
309,95.789,0.041069
310,370.57,0.0010689999999999999
311,185.82,0.020003999999999997
312,171.92,0.035357
313,219.78,0.042089
314,191.94,0.005178800000000001
315,148.52,0.034356
316,138.94,0.024302
317,272.3,0.0036411
318,164.33,0.019594999999999998
319,177.71,0.013261000000000002
320,211.42,0.0028487
321,146.11,0.044954
322,366.32,0.0020747
323,208.12,0.0062279
324,96.794,0.03428
325,155.96,0.013075
326,187.01,0.0101
327,173.58,0.029205000000000002
328,222.35,0.032096
329,192.32,4.3875e-05
330,149.74,0.035344
331,139.92,0.012406
332,272.59,0.0033884999999999996
333,139.25,0.004307399999999999
334,165.43,0.0082611
335,178.44,0.0073488
336,211.59,0.0024933000000000004
337,147.7,0.043425
338,366.07,0.01305
339,97.757,0.021456
340,156.4,0.016841
341,187.68,0.003351
342,204.0,0.0063258
343,174.96,0.022978
344,224.4,0.022331999999999998
345,92.882,0.00043895
346,151.07,0.033056999999999996
347,272.8,0.0043381
348,139.24,0.014385
349,165.94,0.0033061999999999996
350,178.89,0.0015118
351,211.72,0.003998699999999999
352,168.5,0.11070999999999999
353,149.4,0.036119
354,366.7,0.024793
355,98.45200000000001,0.008351299999999999
356,156.98,0.019411
357,176.1,0.016132
358,225.91,0.015707
359,92.88799999999999,0.00066829
360,152.38,0.028214999999999997
361,273.05,0.0054042000000000005
362,139.55,0.025551
363,166.11,0.0013513
364,211.85,0.0067551
365,173.29,0.10171000000000001
366,150.9,0.028814999999999997
367,368.46,0.023908000000000002
368,157.71,0.019181
369,176.97,0.0098541
370,226.91,0.012933000000000002
371,92.902,0.00019539
372,153.57,0.021874
373,273.39,0.0058458
374,140.24,0.036384
375,212.14,0.0082396
376,177.84,0.094072
377,152.1,0.022383
378,371.25,0.025052
379,200.64,0.0078768
380,158.5,0.016496
381,428.91,0.0067048
382,177.53,0.0052104
383,227.68,0.012927000000000001
384,154.53,0.014804
385,273.79,0.0050609999999999995
386,141.33,0.043851999999999995
387,212.57,0.0067867000000000005
388,182.12,0.086994
389,153.08,0.013308
390,201.12,0.0043048
391,159.23,0.012163
392,428.97,0.016231
393,177.85,0.00075387
394,228.38,0.015581999999999999
395,155.25,0.0064459
396,274.19,0.0031996
397,142.79,0.046044
398,213.01,0.0019272000000000002
399,374.48,0.022638
400,201.43,0.0014116
401,159.81,0.0070628
402,430.33,0.020617
403,229.15,0.021419
404,274.48,0.0013023
405,144.43,0.043733
406,377.51,0.013628
407,117.96,0.058512
408,201.55,0.000286
409,160.2,0.0022496
410,432.46,0.020632
411,230.16,0.030226999999999997
412,274.62,0.00022164
413,146.08,0.037216
414,119.53,0.06258
415,201.57,0.00090029
416,434.78,0.017668
417,231.61,0.041749
418,274.66,4.7106000000000006e-05
419,147.59,0.027581
420,165.07,0.0038963
421,379.92,0.007908199999999999
422,121.4,0.057536000000000004
423,201.58,0.0023721999999999997
424,278.32,0.035644999999999996
425,436.91,0.012485
426,233.63,0.059097000000000004
427,129.44,0.020326
428,274.66,0.00083147
429,148.8,0.015964
430,165.01,0.014694
431,123.29,0.044263
432,201.66,0.0027154
433,280.43,0.041234
434,236.48,0.081124
435,129.71,0.041974000000000004
436,274.67,0.0024489
437,149.63,0.0023643
438,165.39,0.023724000000000002
439,124.9,0.024225
440,283.27,0.035913
441,146.51,0.0094434
442,240.51,0.10134
443,130.75,0.060828999999999994
444,274.77,0.0039804
445,166.23,0.027583
446,126.0,0.0018401
447,159.7,0.0023531
448,146.97,0.0055152000000000005
449,246.0,0.11882000000000001
450,132.44,0.075128
451,275.0,0.0047117
452,167.35,0.025532
453,159.65,0.0095802
454,252.85,0.12650999999999998
455,134.73,0.078608
456,275.32,0.004365
457,168.52,0.017795
458,159.89,0.016224000000000002
459,147.43,0.0015924000000000001
460,260.66,0.11803
461,149.45,0.011104000000000001
462,137.41,0.06779500000000001
463,275.65,0.0030217
464,169.49,0.007645100000000001
465,160.41,0.021133000000000002
466,268.7,0.10057
467,149.6,0.021409
468,140.02,0.043526999999999996
469,275.92,0.0010559
470,161.2,0.021461
471,172.2,0.0051998999999999995
472,276.11,0.077355
473,150.28,0.02396
474,142.06,0.012756
475,162.11,0.017232
476,171.86,0.029893
477,282.24,0.051304999999999996
478,151.2,0.017612
479,162.92,0.011276999999999999
480,172.65,0.047034
481,286.73,0.026996
482,152.08,0.0055738
483,163.51,0.0060664
484,289.49,0.0059299
485,163.84,0.004375199999999999
486,91.86399999999999,0.009856
487,164.0,0.006629899999999999
488,91.946,0.021873
489,260.44,0.0033474000000000004
490,164.19,0.010904
491,92.315,0.025578
492,316.99,0.005222600000000001
493,164.55,0.014705000000000001
494,92.946,0.045239999999999995
495,316.97,0.015971
496,165.09,0.015193
497,165.76,0.011035
498,94.037,0.074292
