Label,Mass,GrowthRate
108,187.71,0.0
109,371.05,0.0
110,80.18,0.0
111,197.3,0.0
112,137.7,0.0
113,221.61,0.0
114,190.87,0.0
115,80.303,0.0
116,198.71,0.0
117,138.2,0.0
118,222.59,0.0
119,193.86,0.0
120,136.42,0.0
121,372.51,0.0
122,80.633,0.0
123,200.26,0.0
124,196.58,0.0
125,374.04,0.0
126,81.27,0.0
127,299.53,0.0
128,202.08,0.0
129,138.69,0.0
130,199.13,0.0
131,136.6,0.0
132,375.15,0.0
133,82.336,0.0
134,300.1,0.0
135,374.13,0.0
136,204.38,0.0
137,201.61,0.0
138,137.09,0.0
139,375.73,0.0
140,83.89200000000001,0.0
141,186.98,0.0
142,375.39,0.0
143,207.14,0.0
144,204.02,0.0
145,137.63,0.0
146,375.96,0.0
147,85.777,0.0
148,376.34,0.0
149,210.24,0.0
150,197.13,0.0
151,178.66,0.0
152,206.27,0.0
153,376.16,0.0
154,87.729,0.0
155,146.05,0.0
156,187.05,0.0
157,377.1,0.0
158,213.53,0.0
159,197.38,0.0
160,181.75,0.0
161,219.31,0.0
162,208.18,0.0
163,376.6,0.0
164,89.417,0.0
165,89.069,0.0
166,148.0,0.0
167,300.16,0.0
168,188.05,0.0
169,377.78,0.0
170,216.64,0.0
171,198.78,0.0
172,185.78,0.0
173,132.31,0.0
174,219.27,0.0
175,209.59,0.0
176,377.56,0.0
177,90.64,0.0
178,89.604,0.0
179,149.58,0.0
180,300.19,0.0
181,190.04,0.0
182,378.36,0.0
183,219.2,0.0
184,200.97,0.0
185,189.95,0.0
186,132.52,0.0
187,219.93,0.0
188,210.43,0.0
189,378.74,0.0
190,90.02799999999999,0.0
191,150.77,0.0
192,192.52,0.0
193,221.07,0.0
194,135.6,0.0
195,203.52,0.0
196,193.55,0.0
197,133.04,0.0
198,127.71,0.0
199,221.35,0.0
200,210.85,0.0
201,379.85,0.0
202,202.81,0.0
203,151.69,0.0
204,194.98,0.0
205,222.28,0.0
206,135.63,0.0
207,206.18,0.0
208,196.16,0.0
209,133.7,0.0
210,128.36,0.0
211,223.48,0.0
212,211.07,0.0
213,129.17,0.0
214,136.61,0.0
215,203.12,0.0
216,152.36,0.0
217,197.01,0.0
218,222.97,0.0
219,135.87,0.0
220,208.9,0.0
221,197.77,0.0
222,134.47,0.0
223,128.96,0.0
224,226.3,0.0
225,211.35,0.0
226,131.25,0.0
227,48.193000000000005,0.0
228,203.61,0.0
229,152.82,0.0
230,223.41,0.0
231,136.21,0.0
232,91.179,0.0
233,135.42,0.0
234,129.61,0.0
235,229.8,0.0
236,211.88,0.0
237,136.85,0.0
238,48.861000000000004,0.0
239,153.23,0.0
240,114.76,0.0
241,223.91,0.0
242,136.58,0.0
243,211.62,0.0
244,93.45700000000001,0.0
245,136.76,0.0
246,130.53,0.0
247,233.69,0.0
248,212.68,0.0
249,137.39,0.0
250,49.516000000000005,0.0
251,89.641,0.0
252,153.55,0.0
253,115.32,0.0
254,279.84,0.0
255,224.69,0.0
256,136.94,0.0
257,214.34,0.0
258,95.79700000000001,0.0
259,138.57,0.0
260,131.9,0.0
261,237.72,0.0
262,213.75,0.0
263,138.16,0.0
264,50.205,0.0
265,89.671,0.0
266,115.9,0.0
267,279.76,0.0
268,225.84,0.0
269,137.23,0.0
270,217.07,0.0
271,198.53,0.0
272,98.212,0.0
273,140.79,0.0
274,133.79,0.0
275,241.61,0.0
276,214.97,0.0
277,139.01,0.0
278,194.16,0.0
279,50.977,0.0
280,90.03200000000001,0.0
281,116.53,0.0
282,280.24,0.0
283,227.4,0.0
284,137.44,0.0
285,219.69,0.0
286,198.42,0.0
287,100.55,0.0
288,135.94,0.0
289,245.16,0.0
290,216.2,0.0
291,346.78,0.0
292,139.88,0.0
293,51.839,0.0
294,90.74600000000001,0.0
295,117.26,0.0
296,280.98,0.0
297,229.24,0.0
298,137.64,0.0
299,222.2,0.0
300,198.54,0.0
301,102.79,0.0
302,143.24,0.0
303,248.31,0.0
304,217.36,0.0
305,347.17,0.0
306,52.75899999999999,0.0
307,91.709,0.0
308,118.09,0.0
309,157.84,0.0
310,231.13,0.0
311,198.84,0.0
312,145.63,0.0
313,53.637,0.0
314,92.62700000000001,0.0
315,118.97,0.0
316,157.86,0.0
317,232.86,0.0
318,224.58,0.0
319,199.37,0.0
