Name,Team,Position Group,Draft Grade,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle,Height,Weight,Arm Length,Hand Size,Position,Combine ID,URL
Austin Allen,Arkansas,QB,4.92,4.81,,29.5,112,7.18,4.48,,72,210,30.625,9.625,QB,QB01,https://www.nfl.com/prospects/austin-allen?id=32462018-0002-5601-179e-7f64e9949129
Danny Etling,LSU,QB,4.85,4.76,,30.5,114,7.09,4.37,,74,222,31,9.375,QB,QB06,https://www.nfl.com/prospects/danny-etling?id=32462018-0002-5601-32cf-81b100b4397f
Saquon Barkley,Penn State,RB,7.45,4.4,29,41,,,4.24,,72,233,31.375,9.5,RB,RB03,https://www.nfl.com/prospects/saquon-barkley?id=32462018-0002-5599-01e7-82f405a9a7e5
Derrius Guice,LSU,RB,6.41,4.49,15,31.5,,,,,70,224,30.75,9.75,RB,RB13,https://www.nfl.com/prospects/derrius-guice?id=32462018-0002-5601-017c-b2cb76f248b4
Ronald Jones,USC,RB,6.28,4.65,,36.5,,,,,71,205,31.125,8.75,RB,RB18,https://www.nfl.com/prospects/ronald-jones?id=32462018-0002-5601-06df-2223ee61c706
Sony Michel,Georgia,RB,5.9,4.54,22,,,,4.21,,71,214,31.25,9.125,RB,RB20,https://www.nfl.com/prospects/sony-michel?id=32462018-0002-5598-42ba-9c934f655275
Rashaad Penny,San Diego State,RB,5.83,4.46,13,32.5,120,,,,71,220,31.25,9.25,RB,RB22,https://www.nfl.com/prospects/rashaad-penny?id=32462018-0002-5598-9884-ab8b2759ec0c
Kerryon Johnson,Auburn,RB,5.82,,11,40,126,7.07,4.29,,71,213,32.5,9.75,RB,RB17,https://www.nfl.com/prospects/kerryon-johnson?id=32462018-0002-5600-5225-62a270a0dee0
Nick Chubb,Georgia,RB,5.68,4.52,29,38.5,128,7.09,4.25,,71,227,32,9.625,RB,RB05,https://www.nfl.com/prospects/nick-chubb?id=32462018-0002-5598-46d5-acfeefef0045
Royce Freeman,Oregon,RB,5.63,4.54,17,34,118,6.9,4.16,11.64,71,229,32,9.5,RB,RB12,https://www.nfl.com/prospects/royce-freeman?id=32462018-0002-5598-4391-c06363e72f04
Bo Scarbrough,Alabama,RB,5.6,4.52,14,40,129,,4.34,,73,228,33.5,10.5,RB,RB25,https://www.nfl.com/prospects/bo-scarbrough?id=32462018-0002-5598-454f-31d0179e0a57
Mark Walton,Miami,RB,5.56,4.6,18,31.5,118,,,,70,202,30,9.25,RB,RB28,https://www.nfl.com/prospects/mark-walton?id=32462018-0002-5600-31f4-cfeb568d66bc
Nyheim Hines,NC State,RB,5.53,4.38,,35.5,119,7.18,4.35,,68,198,30.75,8.875,RB,RB15,https://www.nfl.com/prospects/nyheim-hines?id=32462018-0002-5601-7061-180eedb901f2
Dimitri Flowers,Oklahoma,RB,5.52,4.83,17,30.5,109,7.45,4.53,,74,248,30.75,9.25,RB,RB10,https://www.nfl.com/prospects/dimitri-flowers?id=32462018-0002-5601-3572-e0a7c160e8a0
John Kelly,Tennessee,RB,5.51,,15,35,120,7.13,4.51,,70,216,31.375,9.375,RB,RB19,https://www.nfl.com/prospects/john-kelly?id=32462018-0002-5601-9186-f2a43927b0c7
Kalen Ballage,Arizona State,RB,5.46,4.46,15,33.5,122,6.91,4.35,,73,228,32.75,9.5,RB,RB02,https://www.nfl.com/prospects/kalen-ballage?id=32462018-0002-5599-95ff-38837404d292
Akrum Wadley,Iowa,RB,5.45,4.54,12,32,,,,,70,194,29.5,8.25,RB,RB27,https://www.nfl.com/prospects/akrum-wadley?id=32462018-0002-5598-4784-caf128f7ff58
Roc Thomas,Jacksonville State,RB,5.42,4.56,16,35.5,125,,,,70,198,31.625,9.25,RB,RB26,https://www.nfl.com/prospects/roc-thomas?id=32462018-0002-5602-16d8-afb0f717b6bd
Darrel Williams,LSU,RB,5.42,4.72,22,32,109,,4.21,,72,225,31,9.375,RB,RB31,https://www.nfl.com/prospects/darrel-williams?id=32462018-0002-5599-20ec-e39f3b006ff2
Jordan Wilkins,Mississippi,RB,5.39,,16,36,117,,4.27,,73,216,30.125,9.375,RB,RB30,https://www.nfl.com/prospects/jordan-wilkins?id=32462018-0002-5601-87aa-0e1aff7cc20a
Nick Bawden,San Diego State,RB,5.36,,,,,,,,74,245,30.5,9.25,FB,RB04,https://www.nfl.com/prospects/nick-bawden?id=32462018-0002-5598-9342-957fc77a101b
Justin Jackson,Northwestern,RB,5.36,4.52,13,38.5,122,6.81,4.07,11.06,72,199,30.625,9.25,RB,RB16,https://www.nfl.com/prospects/justin-jackson?id=32462018-0002-5599-33b3-80a773b1cdde
Chase Edmonds,Fordham,RB,5.22,4.55,19,34,122,6.79,4.07,11.63,69,205,31.125,9.125,RB,RB08,https://www.nfl.com/prospects/chase-edmonds?id=32462018-0002-5599-67b6-83e11d5abce1
Chris Warren,Texas,RB,5.2,4.69,25,33,121,6.98,4.18,12.03,74,247,32,10,RB,RB29,https://www.nfl.com/prospects/chris-warren?id=32462018-0002-5601-7695-ef24f275c6d8
Josh Adams,Notre Dame,RB,5.15,,18,,,,,,74,213,33.75,9.25,RB,RB01,https://www.nfl.com/prospects/josh-adams?id=32462018-0002-5601-1355-07b08f35a7f0
Donnie Ernsberger,Western Michigan,RB,4.99,4.78,15,31,114,7.09,4.34,,75,241,31.625,9.75,RB,RB09,https://www.nfl.com/prospects/donnie-ernsberger?id=32462018-0002-5601-31fd-ee5572a8f02b
Lavon Coleman,Washington,RB,4.98,4.65,23,33,120,,,,71,215,30.5,9.25,RB,RB06,https://www.nfl.com/prospects/lavon-coleman?id=32462018-0002-5598-8482-6c416ebf398f
Ryan Nall,Oregon State,RB,4.98,4.58,15,33,122,6.95,4.16,11.57,74,232,31.5,10.5,RB,RB21,https://www.nfl.com/prospects/ryan-nall?id=32462018-0002-5602-3398-489802ebbc60
Jeff Wilson,North Texas,RB,4.94,,15,,,,,,71,210,31.5,9.25,RB,RB32,https://www.nfl.com/prospects/jeff-wilson?id=32462018-0002-5601-8948-b2a2794c6283
Demario Richard,Arizona State,RB,4.91,4.7,12,29.5,115,,,,69,218,28.75,9.25,RB,RB24,https://www.nfl.com/prospects/demario-richard?id=32462018-0002-5602-029d-d4daeaa1c6f4
Justin Crawford,West Virginia,RB,4.9,4.64,11,33.5,122,,,,71,199,32,9.125,RB,RB07,https://www.nfl.com/prospects/justin-crawford?id=32462018-0002-5598-7791-479593f0c0db
Kyle Hicks,TCU,RB,4.9,4.63,13,36.5,122,,,,70,204,32.5,9.5,RB,RB14,https://www.nfl.com/prospects/kyle-hicks?id=32462018-0002-5601-6565-d666f645d064
Kamryn Pettway,Auburn,RB,4.9,4.74,22,33.5,116,,,,72,233,31.25,9.5,RB,RB23,https://www.nfl.com/prospects/kamryn-pettway?id=32462018-0002-5601-674b-85950c8b2d89
Jarvion Franklin,Western Michigan,RB,4.88,4.63,18,30,109,6.93,4.31,11.81,71,239,31.25,9.25,RB,RB11,https://www.nfl.com/prospects/jarvion-franklin?id=32462018-0002-5601-37e3-ad73da7c88f4
Calvin Ridley,Alabama,WO,6.83,4.43,15,31,110,6.88,4.41,,72,189,31.625,9.125,WR,WO31,https://www.nfl.com/prospects/calvin-ridley?id=32462018-0002-5600-1177-bcdc902b08a4
Deon Cain,Clemson,WO,5.96,4.43,11,33.5,115,6.71,4.37,11.78,74,202,33,8.75,WR,WO04,https://www.nfl.com/prospects/deon-cain?id=32462018-0002-5601-476e-1c21b13a4045
Jordan Lasley,UCLA,WO,5.89,4.5,8,34.5,112,,4.19,,73,203,32.75,9.625,WR,WO19,https://www.nfl.com/prospects/jordan-lasley?id=32462018-0002-5602-08a4-e98177ae2c6f
Dante Pettis,Washington,WO,5.85,,,,,,,,72,186,32.25,9.5,WR,WO27,https://www.nfl.com/prospects/dante-pettis?id=32462018-0002-5600-2051-0c2c04e04ebb
Christian Kirk,Texas A&M,WO,5.83,4.47,20,35.5,115,7.09,4.45,12.03,70,201,30.375,9.875,WR,WO17,https://www.nfl.com/prospects/christian-kirk?id=32462018-0002-5600-14bf-edf102441a49
Courtland Sutton,SMU,WO,5.82,4.54,18,35.5,124,6.57,4.11,11.06,75,218,32.375,9.75,WR,WO36,https://www.nfl.com/prospects/courtland-sutton?id=32462018-0002-5600-18de-e88c26b17c1c
D.J. Chark,LSU,WO,5.79,4.34,16,40,129,,,,75,199,32.375,9.25,WR,WO08,https://www.nfl.com/prospects/d.j.-chark?id=32462018-0002-5599-1512-af2ae612016b
D.J. Moore,Maryland,WO,5.77,4.42,15,39.5,132,6.95,4.07,11.18,72,210,31.625,9.625,WR,WO25,https://www.nfl.com/prospects/d.j.-moore?id=32462018-0002-5602-31ed-ce270f370fe4
James Washington,Oklahoma State,WO,5.76,4.54,14,34.5,120,7.11,4.32,11.56,71,213,32.375,9.75,WR,WO39,https://www.nfl.com/prospects/james-washington?id=32462018-0002-5599-27dc-5f82fa873706
Michael Gallup,Colorado State,WO,5.72,4.51,10,36,122,6.95,4.37,11.84,73,205,31.5,9.25,WR,WO12,https://www.nfl.com/prospects/michael-gallup?id=32462018-0002-5598-51a4-797d9fa967ed
Keke Coutee,Texas Tech,WO,5.71,4.43,14,34.5,113,6.93,4.15,,70,181,29.875,8.375,WR,WO10,https://www.nfl.com/prospects/keke-coutee?id=32462018-0002-5601-5988-5a8f157c26e5
J'mon Moore,Missouri,WO,5.69,4.6,21,38,120,6.56,4.04,,75,207,32.875,9.375,WR,WO26,https://www.nfl.com/prospects/j'mon-moore?id=32462018-0002-5600-241e-b3b4f7f6d768
Anthony Miller,Memphis,WO,5.68,,22,,,,,,71,201,31.625,10.625,WR,WO23,https://www.nfl.com/prospects/anthony-miller?id=32462018-0002-5599-09cf-b942c8375e31
Antonio Callaway,Florida,WO,5.54,4.41,,34,121,,,,71,200,31.5,9.5,WR,WO05,https://www.nfl.com/prospects/antonio-callaway?id=32462018-0002-5601-48e6-bb3f7a8ed488
Daesean Hamilton,Penn State,WO,5.54,,,34.5,118,6.84,4.15,,73,203,31,9.375,WR,WO14,https://www.nfl.com/prospects/daesean-hamilton?id=32462018-0002-5600-196a-1006c37c4e42
Equanimeous St. Brown,Notre Dame,WO,5.54,4.48,20,,,,,,77,214,33,9.75,WR,WO35,https://www.nfl.com/prospects/equanimeous-st.brown?id=32462018-0002-5602-03f6-dbdbfff5cbea
Tre'quan Smith,UCF,WO,5.53,4.49,12,37.5,130,6.97,4.5,11.88,74,203,33.375,9.5,WR,WO34,https://www.nfl.com/prospects/tre'quan-smith?id=32462018-0002-5601-042f-d721c37d03cc
Marcell Ateman,Oklahoma State,WO,5.52,4.62,13,34,121,7.07,4.25,11.94,76,216,32.875,9.875,WR,WO01,https://www.nfl.com/prospects/marcell-ateman?id=32462018-0002-5599-3917-b5f5b680357e
Deontay Burnett,USC,WO,5.46,,,,,,,,72,186,31.5,8.625,WR,WO03,https://www.nfl.com/prospects/deontay-burnett?id=32462018-0002-5601-43ab-d025d76c4ea1
Cedrick Wilson,Boise State,WO,5.46,4.55,9,37,121,6.89,4.23,11.48,74,197,31.5,9.75,WR,WO43,https://www.nfl.com/prospects/cedrick-wilson?id=32462018-0002-5599-65f5-ba58a1d9d7a6
Auden Tate,Florida State,WO,5.43,4.68,,31,112,,,,77,228,33.75,9.375,WR,WO37,https://www.nfl.com/prospects/auden-tate?id=32462018-0002-5602-124d-61fa30de5b61
Quadree Henderson,Pittsburgh,WO,5.41,4.5,12,32.5,120,6.89,4.28,,68,192,29.5,9.875,WR,WO15,https://www.nfl.com/prospects/quadree-henderson?id=32462018-0002-5600-04d4-cfafc6e8256e
Darren Carrington Ii,Utah,WO,5.4,,,36,120,,,,74,199,32.75,10.375,WR,WO07,https://www.nfl.com/prospects/darren-carringtonii?id=32462018-0002-5598-63c9-d703651e8611
Braxton Berrios,Miami,WO,5.39,,11,,,,,,69,184,28,9.25,WR,WO02,https://www.nfl.com/prospects/braxton-berrios?id=32462018-0002-5599-6187-781cce2970bc
Allen Lazard,Iowa State,WO,5.39,4.55,17,38,122,,,,77,227,32.25,9.75,WR,WO20,https://www.nfl.com/prospects/allen-lazard?id=32462018-0002-5598-54b7-82a438b6b248
Simmie Cobbs,Indiana,WO,5.38,4.64,11,30,113,6.7,4.32,11.2,75,220,32,9.25,WR,WO09,https://www.nfl.com/prospects/simmie-cobbs?id=32462018-0002-5601-5678-ba8cd49b28f6
Jester Weah,Pittsburgh,WO,5.38,4.43,15,38,129,7.24,4.41,11.88,74,211,31.125,9.625,WR,WO40,https://www.nfl.com/prospects/jester-weah?id=32462018-0002-5599-9151-a13901df6215
Jake Wieneke,South Dakota State,WO,5.37,4.67,9,34,114,7.24,4.37,11.78,76,221,33,9.875,WR,WO42,https://www.nfl.com/prospects/jake-wieneke?id=32462018-0002-5598-52d4-39321504e3bd
Javon Wims,Georgia,WO,5.37,4.53,,33.5,113,7,,,75,215,31.5,9.25,WR,WO44,https://www.nfl.com/prospects/javon-wims?id=32462018-0002-5600-889e-860db0dfb6ed
Jaleel Scott,New Mexico State,WO,5.31,4.56,16,34.5,124,7.2,4.4,12.07,77,218,33.5,10.5,WR,WO33,https://www.nfl.com/prospects/jaleel-scott?id=32462018-0002-5598-5379-f1e4b2e2896b
Davon Grayson,ECU,WO,5.27,4.51,19,34.5,124,,,,73,199,31.375,9.375,WR,WO13,https://www.nfl.com/prospects/davon-grayson?id=32462018-0002-5601-573b-4197bcdadb4f
Byron Pringle,Kansas State,WO,5.26,4.46,15,33.5,120,6.87,4.4,,73,203,32,9.25,WR,WO29,https://www.nfl.com/prospects/byron-pringle?id=32462018-0002-5601-75c4-f7f5c3c54957
Richie James,Middle Tennessee,WO,5.23,4.48,6,35.5,122,6.87,4.16,11.44,70,183,31.25,9.25,WR,WO16,https://www.nfl.com/prospects/richie-james?id=32462018-0002-5601-698d-fa7f7c298f5d
Steven Mitchell,USC,WO,5.2,4.56,13,32.5,121,6.75,4.4,,70,189,30.375,9.375,WR,WO24,https://www.nfl.com/prospects/steven-mitchell?id=32462018-0002-5602-30c5-0cd365fe7b60
Marquez Valdes-Scantling,South Florida,WO,5.2,4.37,15,30.5,124,,,,76,206,32.25,10.25,WR,WO38,https://www.nfl.com/prospects/marquez-valdes-scantling?id=32462018-0002-5602-295b-f22af0b559c5
Robert Foster,Alabama,WO,5.15,4.41,,31,116,6.9,4.2,11.9,74,196,32.125,9.25,WR,WO11,https://www.nfl.com/prospects/robert-foster?id=32462018-0002-5601-3655-3601824b777a
Tavares Martin,Washington State,WO,5.14,4.8,,31.5,,,,,73,177,32.125,9.125,WR,WO21,https://www.nfl.com/prospects/tavares-martin?id=32462018-0002-5602-17ec-a294eadb0e3b
Trey Quinn,SMU,WO,5.13,4.55,17,33.5,116,6.91,4.19,11.4,71,203,30.75,10.125,WR,WO30,https://www.nfl.com/prospects/trey-quinn?id=32462018-0002-5601-808c-2275391f0ccd
Ka'raun White,West Virginia,WO,5.11,4.52,24,33.5,118,7.16,4.57,11.73,73,206,32.25,9.625,WR,WO41,https://www.nfl.com/prospects/ka'raun-white?id=32462018-0002-5601-07f1-b38bb70e64a5
Cam Phillips,Virginia Tech,WO,5.09,,,,,,,,72,201,30.5,8.875,WR,WO28,https://www.nfl.com/prospects/cam-phillips?id=32462018-0002-5599-6376-f01993bc94c0
Dylan Cantrell,Texas Tech,WO,4.98,4.59,18,38.5,130,6.56,4.03,10.85,75,226,31.375,9.25,WR,WO06,https://www.nfl.com/prospects/dylan-cantrell?id=32462018-0002-5601-49ad-2275bccf11b0
Korey Robertson,Southern Miss,WO,4.98,4.56,13,34,123,,,,73,212,32.875,9.125,WR,WO32,https://www.nfl.com/prospects/korey-robertson?id=32462018-0002-5602-14b2-1dd0567e87f3
Chris Lacy,Oklahoma State,WO,4.92,4.51,11,33.5,120,,,,75,205,31.25,9.75,WR,WO18,https://www.nfl.com/prospects/chris-lacy?id=32462018-0002-5602-0620-096872d7a989
Ray-Ray McCloud,Clemson,WO,4.84,4.53,13,34.5,113,,,,69,190,30.25,9.25,WR,WO22,https://www.nfl.com/prospects/ray-ray-mccloud?id=32462018-0002-5602-2213-8e72e85e661b
Mike Gesicki,Penn State,TE,5.9,4.54,22,41.5,129,6.76,4.1,11.33,77,247,34,10.125,TE,TE07,https://www.nfl.com/prospects/mike-gesicki?id=32462018-0002-5598-8955-096ca0282cf3
Hayden Hurst,South Carolina,TE,5.88,4.67,,31.5,120,7.19,4.37,12.15,76,250,32.125,9.75,TE,TE10,https://www.nfl.com/prospects/hayden-hurst?id=32462018-0002-5600-72f9-7623b6673aa8
Dallas Goedert,South Dakota State,TE,5.87,,23,,,,,,77,256,32.875,9.25,TE,TE08,https://www.nfl.com/prospects/dallas-goedert?id=32462018-0002-5598-50df-cbcb73dca454
Ian Thomas,Indiana,TE,5.82,4.74,,36,123,7.15,4.2,,76,259,34.125,11.5,TE,TE15,https://www.nfl.com/prospects/ian-thomas?id=32462018-0002-5598-49c6-a898fedcd981
Dalton Schultz,Stanford,TE,5.72,4.75,15,32,120,7,4.4,,77,244,31.75,9.25,TE,TE13,https://www.nfl.com/prospects/dalton-schultz?id=32462018-0002-5601-11b0-43f775014814
Mark Andrews,Oklahoma,TE,5.71,4.67,17,31,113,7.34,4.38,12.39,77,256,33.5,10.5,TE,TE02,https://www.nfl.com/prospects/mark-andrews?id=32462018-0002-5601-19d7-53b479c28c47
Durham Smythe,Notre Dame,TE,5.65,4.81,18,31,110,7.17,4.23,11.86,77,253,32.5,10.75,TE,TE14,https://www.nfl.com/prospects/durham-smythe?id=32462018-0002-5598-6939-e96cd0ea83be
Tyler Conklin,Central Michigan,TE,5.62,4.8,18,38,120,7.13,4.23,11.43,75,254,33.25,9.75,TE,TE04,https://www.nfl.com/prospects/tyler-conklin?id=32462018-0002-5599-03c5-fbb5166a2d07
Chris Herndon,Miami,TE,5.57,,21,,,,,,76,253,32.75,9.75,TE,TE09,https://www.nfl.com/prospects/chris-herndon?id=32462018-0002-5599-6874-f5b8098699ef
Will Dissly,Washington,TE,5.56,4.87,15,28,111,7.07,4.4,12.12,76,262,32,10.25,TE,TE05,https://www.nfl.com/prospects/will-dissly?id=32462018-0002-5601-229c-0df1bc282abe
Ryan Izzo,Florida State,TE,5.54,4.94,18,33,110,7.15,4.43,12.15,77,256,31.375,9.25,TE,TE11,https://www.nfl.com/prospects/ryan-izzo?id=32462018-0002-5601-0594-a3fedd573c18
Jaylen Samuels,NC State,TE,5.48,4.54,18,34.5,121,6.93,4.28,,71,225,31.25,9.5,TE,TE12,https://www.nfl.com/prospects/jaylen-samuels?id=32462018-0002-5599-3042-1fab298cb54e
Jordan Akins,UCF,TE,5.43,,,,,,,,75,249,32.5,9.5,TE,TE01,https://www.nfl.com/prospects/jordan-akins?id=32462018-0002-5601-08d8-43b2a4ee16b1
Troy Fumagalli,Wisconsin,TE,5.38,,14,,,,,,77,247,34.125,10.25,TE,TE06,https://www.nfl.com/prospects/troy-fumagalli?id=32462018-0002-5599-55a9-fd6733deb626
Jordan Thomas,Mississippi State,TE,5.22,4.74,16,27,111,7.5,4.75,,77,265,32.25,9.625,TE,TE16,https://www.nfl.com/prospects/jordan-thomas?id=32462018-0002-5600-4939-3aec43b4d65b
David Wells,San Diego State,TE,5.05,4.75,20,33,116,7.5,4.59,12.41,78,256,32.25,9.625,TE,TE17,https://www.nfl.com/prospects/david-wells?id=32462018-0002-5598-65fe-0543a0ce6e5c
Marcus Baugh,Ohio State,TE,4.92,4.81,,33,117,7.28,4.51,12.06,75,247,33,9.5,TE,TE03,https://www.nfl.com/prospects/marcus-baugh?id=32462018-0002-5598-8520-738df7ecbe02
Quenton Nelson,Notre Dame,OL,7.4,,35,26.5,105,7.65,4.62,,77,325,33.75,10.375,G,OL26,https://www.nfl.com/prospects/quenton-nelson?id=32462018-0002-5599-486f-d1010a40f61a
Orlando Brown,Oklahoma,OL,6.12,5.85,14,19.5,82,7.87,5.38,,80,345,35,9.75,OT,OL03,https://www.nfl.com/prospects/orlando-brown?id=32462018-0002-5598-966e-c097dcfe7190
Will Hernandez,UTEP,OL,6.11,5.15,37,24,104,7.59,4.7,,74,327,32,9.875,G,OL16,https://www.nfl.com/prospects/will-hernandez?id=32462018-0002-5598-2873-8029092a1ebf
Isaiah Wynn,Georgia,OL,6.11,,,,,,,,75,313,33.375,8.5,G,OL48,https://www.nfl.com/prospects/isaiah-wynn?id=32462018-0002-5598-29a6-795bdc903bc6
James Daniels,Iowa,OL,6,,21,30.5,108,7.29,4.4,,75,306,33.75,9.5,C,OL10,https://www.nfl.com/prospects/james-daniels?id=32462018-0002-5600-48e1-4044bbc76ad1
Connor Williams,Texas,OL,5.93,5.05,26,34,112,7.83,4.63,,77,296,33,10.5,OT,OL47,https://www.nfl.com/prospects/connor-williams?id=32462018-0002-5600-1711-baf493b722cd
Billy Price,Ohio State,OL,5.9,,,,,,,,76,305,32,9.75,C,OL33,https://www.nfl.com/prospects/billy-price?id=32462018-0002-5599-11cc-88054ff74390
Mike McGlinchey,Notre Dame,OL,5.89,,24,28.5,105,,,,80,309,34,10,OT,OL24,https://www.nfl.com/prospects/mike-mcglinchey?id=32462018-0002-5598-91ce-2f09d2edeb35
Jamarco Jones,Ohio State,OL,5.86,5.5,,24,102,8.32,4.99,,76,299,35.125,9.5,OT,OL17,https://www.nfl.com/prospects/jamarco-jones?id=32462018-0002-5599-2651-ea246beb2799
Martinas Rankin,Mississippi State,OL,5.76,,24,,,,,,76,308,33.75,10.125,OL,OL36,https://www.nfl.com/prospects/martinas-rankin?id=32462018-0002-5601-845a-acb4f8dd89a0
Frank Ragnow,Arkansas,OL,5.75,,26,,,,,,77,312,33.125,9.375,C,OL35,https://www.nfl.com/prospects/frank-ragnow?id=32462018-0002-5598-2498-7d09b5e02409
Brian O'Neill,Pittsburgh,OL,5.71,4.82,22,29.5,107,7.14,4.5,,79,297,34.125,9.375,OT,OL29,https://www.nfl.com/prospects/brian-o'neill?id=32462018-0002-5601-12da-65ed51810c59
Tyrell Crosby,Oregon,OL,5.69,5.23,17,30,105,7.89,4.77,,77,309,35.25,10.75,OT,OL09,https://www.nfl.com/prospects/tyrell-crosby?id=32462018-0002-5598-36fb-6806d79bf655
Kolton Miller,UCLA,OL,5.67,4.95,24,31.5,121,7.34,4.49,,81,309,34.125,10.75,OT,OL25,https://www.nfl.com/prospects/kolton-miller?id=32462018-0002-5602-2851-0259114994f8
Austin Corbett,Nevada,OL,5.65,5.15,19,28,106,7.87,4.5,,76,306,33.125,10.5,G,OL08,https://www.nfl.com/prospects/austin-corbett?id=32462018-0002-5598-32d0-cae9da7b0ed8
Braden Smith,Auburn,OL,5.65,5.22,35,33.5,113,,4.77,,78,315,32.25,9.375,G,OL40,https://www.nfl.com/prospects/braden-smith?id=32462018-0002-5600-4269-a0395d5daaf3
Joseph Noteboom,TCU,OL,5.62,4.96,27,24,102,7.65,4.44,,77,309,34.375,9.625,OT,OL27,https://www.nfl.com/prospects/joseph-noteboom?id=32462018-0002-5598-41da-500c69ebbff9
Will Richardson,NC State,OL,5.61,5.26,,31.5,108,7.8,4.83,,78,306,35.25,9.875,OT,OL37,https://www.nfl.com/prospects/will-richardson?id=32462018-0002-5602-059f-73592c875e10
Chukwuma Okorafor,Western Michigan,OL,5.6,5.31,19,23.5,102,7.87,4.8,,78,320,34.5,10.25,OT,OL28,https://www.nfl.com/prospects/chukwuma-okorafor?id=32462018-0002-5598-6097-6a0cb1996550
Mason Cole,Michigan,OL,5.56,5.23,23,23.5,104,7.77,4.78,,76,307,32.125,9.625,C,OL07,https://www.nfl.com/prospects/mason-cole?id=32462018-0002-5600-8995-5da6060a8db7
Jamil Demby,Maine,OL,5.54,5.58,17,23.5,98,7.86,4.95,,76,319,33.75,10.75,G,OL11,https://www.nfl.com/prospects/jamil-demby?id=32462018-0002-5601-18dd-252c254d83fe
Geron Christian,Louisville,OL,5.53,5.33,19,,,,,,77,298,35,10.75,OT,OL05,https://www.nfl.com/prospects/geron-christian?id=32462018-0002-5601-5322-e972be96c146
